Frame,Timestamp,Plant,Disease,Confidence,Source
20536,2026-02-03T15:11:36,Unknown,Tomato Early blight leaf,0.5335,webcam
20562,2026-02-03T15:11:41,Unknown,Tomato Early blight leaf,0.5017,webcam
20563,2026-02-03T15:11:42,Unknown,Tomato Early blight leaf,0.5126,webcam
20614,2026-02-03T15:11:52,Unknown,Tomato Early blight leaf,0.5135,webcam
20625,2026-02-03T15:11:54,Unknown,Tomato Early blight leaf,0.5334,webcam
20733,2026-02-03T15:12:16,Unknown,Tomato Early blight leaf,0.5814,webcam
21142,2026-02-03T15:13:44,Unknown,Tomato leaf bacterial spot,0.5181,webcam
21166,2026-02-03T15:13:49,Unknown,Tomato Early blight leaf,0.5277,webcam
21167,2026-02-03T15:13:49,Unknown,Tomato Early blight leaf,0.6196,webcam
21168,2026-02-03T15:13:50,Unknown,Tomato Early blight leaf,0.5783,webcam
21351,2026-02-03T15:14:24,Unknown,Tomato Early blight leaf,0.5546,webcam
21356,2026-02-03T15:14:25,Unknown,Tomato Early blight leaf,0.5649,webcam
21574,2026-02-03T15:15:08,Unknown,Tomato leaf late blight,0.5187,webcam
21576,2026-02-03T15:15:08,Unknown,Tomato leaf late blight,0.5174,webcam
21577,2026-02-03T15:15:08,Unknown,Tomato leaf late blight,0.6689,webcam
21578,2026-02-03T15:15:09,Unknown,Tomato leaf late blight,0.6246,webcam
21579,2026-02-03T15:15:09,Unknown,Tomato leaf late blight,0.6930,webcam
21580,2026-02-03T15:15:09,Unknown,Tomato leaf late blight,0.6933,webcam
21582,2026-02-03T15:15:09,Unknown,Tomato leaf late blight,0.7851,webcam
21584,2026-02-03T15:15:10,Unknown,Tomato leaf late blight,0.5427,webcam
22167,2026-02-03T15:17:00,Unknown,Tomato leaf bacterial spot,0.5254,webcam
22193,2026-02-03T15:17:05,Unknown,Tomato Early blight leaf,0.5811,webcam
22276,2026-02-03T15:17:20,Unknown,Tomato leaf late blight,0.5066,webcam
22280,2026-02-03T15:17:21,Unknown,Tomato leaf late blight,0.5851,webcam
22371,2026-02-03T15:17:38,Unknown,Tomato Early blight leaf,0.5112,webcam
22410,2026-02-03T15:17:45,Unknown,Tomato Septoria leaf spot,0.5122,webcam
22411,2026-02-03T15:17:45,Unknown,Tomato Septoria leaf spot,0.5512,webcam
22416,2026-02-03T15:17:46,Unknown,Tomato Septoria leaf spot,0.6343,webcam
